FNR,STATUS,NAME,SITZ,RECHTSFORM_CODE,RECHTSFORM_TEXT,GERICHT_CODE,GERICHT_TEXT
118288d,gelöscht,A 1 plus Film- und TV-Filmproduktions Gesellschft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
115316h,gelöscht,a 3 Beteiligungsgesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
030558p,gelöscht,A.A. & M.C. Baugesellschaft m.b.H. in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
064713t,gelöscht,AA AbflussreinigungsgmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
621689z,,A&A Elektrotechnik GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
343472g,gelöscht,AA Handy Distribution GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
524473i,gelöscht,AA IMMOINVEST HOLDING GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
398080m,,AA Industriebau GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
664064s,,A&A IT Ventures GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
610345t,,A&A Knödel Gastro GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
606392d,,A-A Line GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
507254m,gelöscht,A&A PARTNER BAU GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
477843k,gelöscht,AA Personenbeförderungs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
482774m,gelöscht,A&A Rohrpostservice GmbH i.L.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
619826i,,A&A SmartCare GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
358047s,,aaa - all about apps GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
527633g,,AAA All About Apartments GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
270141t,gelöscht,AAA Asset Management Immobilien- beratung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
284394b,gelöscht,AAA Assistance Management GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
046496b,gelöscht,AAA Bau- und Geschäftsvermittlung- Gesellschaft m.b.H. in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
162939t,,A.A.A. Beteiligungs - Invest GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
